name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link
LANDROVER,RANGE ROVER,12500000000,HÀ NỘI,MỚI,2021,NÂU,XÁM,TỰ ĐỘNG,0,https://bonbanh.com/xe-landrover-range_rover-svautobiography-lwb-3.0-i6-2021-3377840
LEXUS,LS,7830000000,HỒ CHÍ MINH,MỚI,2021,NÂU,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-lexus-ls-500h-2021-3688060
CHEVROLET,COLORADO,515000000,THÁI NGUYÊN,CŨ,2018,-,BẠC,TỰ ĐỘNG,38000,https://bonbanh.com/xe-chevrolet-colorado-lt-2.5l-4x2-at-2018-3993070
MINI,COOPER,2049000000,HỒ CHÍ MINH,MỚI,2019,ĐEN,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-mini-cooper-s-5dr-2019-2621197
MERCEDES BENZ,C CLASS,599000000,HÀ NỘI,CŨ,2012,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2012-4033867
PORSCHE,MACAN,2499000000,HỒ CHÍ MINH,CŨ,2015,VÀNG,TRẮNG,TỰ ĐỘNG,44000,https://bonbanh.com/xe-porsche-macan-2.0-2015-3998678
MITSUBISHI,PAJERO,380000000,HÀ NỘI,CŨ,2001,XÁM,XANH,SỐ TAY,20000,https://bonbanh.com/xe-mitsubishi-pajero-2.8-2001-3867466
MAZDA,3,515000000,HÀ NỘI,CŨ,2017,GHI,TRẮNG,TỰ ĐỘNG,38000,https://bonbanh.com/xe-mazda-3-1.5-at-2017-3993931
LEXUS,NX,2290000000,HỒ CHÍ MINH,CŨ,2018,NÂU,ĐEN,TỰ ĐỘNG,16000,https://bonbanh.com/xe-lexus-nx-300-2018-4001314
MAZDA,3,745000000,HÀ NỘI,CŨ,2020,ĐEN,XANH,TỰ ĐỘNG,9999,https://bonbanh.com/xe-mazda-3-1.5l-sport-premium-2020-4034184
MITSUBISHI,XPANDER,555000000,HÀ NỘI,MỚI,2021,VÀNG,TRẮNG,SỐ TAY,0,https://bonbanh.com/xe-mitsubishi-xpander-1.5-mt-2021-3226603
LEXUS,ES,2540000000,HÀ NỘI,MỚI,2021,MÀU KHÁC,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-lexus-es-250-2021-3254904
MERCEDES BENZ,E CLASS,1750000000,HÀ NỘI,CŨ,2018,NÂU,ĐEN,TỰ ĐỘNG,29000,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2018-3908305
MERCEDES BENZ,GLC,2499000000,HỒ CHÍ MINH,MỚI,2021,ĐEN,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-3190302
MITSUBISHI,XPANDER,637000000,HÀ NỘI,MỚI,2021,ĐEN,ĐỒNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2021-3328799
HYUNDAI,TUCSON,777000000,HÀ NỘI,CŨ,2019,ĐEN,ĐEN,TỰ ĐỘNG,22000,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2019-3967951
KIA,SORENTO,1143000000,HÀ NỘI,MỚI,2021,-,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-kia-sorento-luxury-2.2-at-2021-3676255
LANDROVER,RANGE ROVER,12500000000,HÀ NỘI,MỚI,2021,NÂU,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-landrover-range_rover-svautobiography-lwb-3.0-i6-2021-3371284
LANDROVER,RANGE ROVER,12500000000,HÀ NỘI,MỚI,2021,NÂU,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-landrover-range_rover-svautobiography-lwb-3.0-i6-2021-3371990
SUZUKI,XL_7_1,564000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-suzuki-xl7-giam-cuc-soc-ho-tro-gop-cao-chi-can-130tr-lan-banh-xe-co-san-du-mau-giao-ngay-404570/
TOYOTA,CAMRY,1029000000,HỒ CHÍ MINH,MỚI,2021,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-toyota-camry-g-2021-du-mau-giao-ngay-289tr-co-xe-326540/
HONDA,CIVIC,903000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-giam-tm-khung-giao-som-sieu-pham-honda-civic-chi-voi-178-205tr-gia-khung-trong-thang-112021-401133/
HONDA,CR_V,1118000000,HỒ CHÍ MINH,MỚI,2021,,XÁM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-honda-cr-v-2021tang-thue-truoc-ba-nhan-xe-voi-250tr-tang-bhvc-goi-pk-duy-nhat-trong-thang-11-407144/
HONDA,CR_V,1118000000,HỒ CHÍ MINH,MỚI,2021,,XÁM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-honda-cr-v-2021tang-thue-truoc-ba-nhan-xe-voi-250tr-tang-bhvc-goi-pk-duy-nhat-trong-thang-11-406533/
HONDA,CIVIC,789000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-so-huu-civic-2021-chi-voi-178-205tr-duy-nhat-chi-co-tai-honda-o-to-sai-gon-vo-van-kiet-406795/
HONDA,CR_V,1118000000,HỒ CHÍ MINH,MỚI,2021,,XÁM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-honda-cr-v-2021tang-thue-truoc-ba-nhan-xe-voi-250tr-tang-bhvc-goi-pk-duy-nhat-trong-thang-11-407145/
HONDA,HR_V,901000000,HỒ CHÍ MINH,MỚI,2021,,CAM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-tra-tm-177-193tr-so-huu-ngay-sieu-pham-hr-v-mua-xe-trung-xe-duy-nhat-thang-112021-389124/
