name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
MITSUBISHI,PAJERO SPORT,1105000000,HÀ NỘI,MỚI,2021,-,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x2-at-2021-4039975,
LANDROVER,RANGE ROVER,9800000000,HÀ NỘI,MỚI,2021,NÂU,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-2021-3621486,
PORSCHE,CAYENNE,950000000,HỒ CHÍ MINH,CŨ,2009,NÂU,TRẮNG,TỰ ĐỘNG,106284,https://bonbanh.com/xe-porsche-cayenne-gts-2009-3818599,
VINFAST,FADIL,382000000,HÀ NỘI,MỚI,2021,ĐEN,BẠC,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-fadil-1.4-at-plus-2021-3897954,
TOYOTA,VIOS,390000000,HÀ NỘI,CŨ,2018,ĐEN,TRẮNG,SỐ TAY,50000,https://bonbanh.com/xe-toyota-vios-1.5e-mt-2018-4062206,
LANDROVER,RANGE ROVER,5050000000,HÀ NỘI,CŨ,2015,KEM,ĐEN,TỰ ĐỘNG,40000,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-2015-3901465,
FORD,ECOSPORT,478000000,HÀ NỘI,CŨ,2017,ĐEN,XÁM,TỰ ĐỘNG,40675,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2017-4058499,
NISSAN,TERRA,739000000,HÀ NỘI,CŨ,2019,NÂU,TRẮNG,SỐ TAY,0,https://bonbanh.com/xe-nissan-terra-s-2.5-mt-2wd-2019-4051183,
HYUNDAI,GENESIS,730000000,HỒ CHÍ MINH,CŨ,2012,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-hyundai-genesis-2.0-at-2012-3659522,
FORD,RANGER,615000000,HÀ NỘI,MỚI,2021,-,NÂU,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2021-4062039,
HYUNDAI,COUNTY,1360000000,HỒ CHÍ MINH,MỚI,2021,NHIỀU MÀU,NÂU,SỐ TAY,0,https://bonbanh.com/xe-hyundai-county--2021-2917598,
TOYOTA,INNOVA,399000000,HÀ NỘI,CŨ,2013,KEM,BẠC,TỰ ĐỘNG,0,https://bonbanh.com/xe-toyota-innova-2.0g-2013-3914495,
HYUNDAI,SANTAFE,1238000000,HÀ NỘI,MỚI,2021,-,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-hyundai-santafe-dac-biet-2.2l-htrac-2021-3996411,
TOYOTA,FORTUNER,1195000000,HÀ NỘI,MỚI,2021,MÀU KHÁC,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-at-legender-2021-3752344,
HONDA,BRIO,400000000,HÀ NỘI,MỚI,2021,ĐEN,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-honda-brio-rs-2021-3797517,
FORD,RANGER,650000000,HÀ NỘI,MỚI,2021,MÀU KHÁC,XÁM,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2021-4045906,
HONDA,CITY,569000000,HẢI PHÒNG,MỚI,2021,NHIỀU MÀU,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-4040852,
FORD,EVEREST,1293000000,HÀ NỘI,MỚI,2021,GHI,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2021-2824217,
KIA,MORNING,115000000,LÀO CAI,CŨ,2007,GHI,XANH,SỐ TAY,200000,https://bonbanh.com/xe-kia-morning-lx-1.0-mt-2007-3885918,
LANDROVER,DEFENDER,6100000000,HÀ NỘI,MỚI,2021,KEM,NÂU,TỰ ĐỘNG,0,https://bonbanh.com/xe-landrover-defender-110-first-edition-d240-2.0-at-2021-3717783,
TOYOTA,VIOS,531000000,LONG AN,MỚI,2021,KEM,BẠC,TỰ ĐỘNG,0,https://bonbanh.com/xe-toyota-vios-e-cvt-2021-3754978,
HYUNDAI,SANTAFE,1230000000,ĐỒNG NAI,MỚI,2021,NÂU,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2021-3848271,
FORD,RANGER,650000000,HÀ NỘI,MỚI,2021,GHI,XÁM,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2021-4052223,
MITSUBISHI,XPANDER,579000000,HÀ NỘI,MỚI,2021,ĐEN,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2021-4061305,
MERCEDESBENZ,C180,1499000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-c180-2021-moi-ho-chi-minh-uu-dai-tien-mat-lien-he-ngay-de-nhan-gia-tot-415194/,brand not in list
FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ranger-2021-moi-gia-tot-chua-tung-co-du-mau-amp-co-xe-giao-ngay-404728/,
FORD,RANGER,910000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-ranger-wildtrak-2021-giam-tien-mat-15tr-amp-tang-phu-kien-di-kem-415182/,
FORD,RANGER,910000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-ranger-wildtrak-2021-giam-tien-mat-15tr-amp-tang-phu-kien-di-kem-415183/,
FORD,EVEREST,1100000000,HỒ CHÍ MINH,MỚI,2021,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-090-638-1199-ford-everest-khuyen-mai-cuoi-thang-len-100-trieu-du-mau-giao-ngay-404653/,
FORD,EVEREST,1100000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-everest-titanium-1-cau-giam-tien-mat-len-den-hon-80tr-tang-phu-kien-chinh-hang-415181/,
FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415184/,
FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415185/,
