,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
10,KIA,SORENTO,775000000,HÀ NỘI,CŨ,2020,KEM,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-kia-sorento-2.4-gat-premium-2020-3888297,price!!!
35,VINFAST,LUX,130000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-thanh-pho-my-tho-tien-giang/82885779.htm,price!!!
39,FORD,RANGER,1165000000,,CŨ,2018,,,TỰ ĐỘNG,28000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/90434685.htm,price!!!
43,LEXUS,RX,979000000,,CŨ,2010,,,TỰ ĐỘNG,70000,https://xe.chotot.com/mua-ban-oto-thanh-pho-chi-linh-hai-duong/90241397.htm,price!!!
44,TOYOTA,SIENNA,730000000,,CŨ,2007,,,TỰ ĐỘNG,71000,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/90374590.htm,price!!!
45,LANDROVER,RANGE ROVER,2380000000,,CŨ,2018,,,TỰ ĐỘNG,26000,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/90446826.htm,price!!!
47,TOYOTA,YARIS,595000000,HỒ CHÍ MINH,CŨ,2007,TRẮNG,XANH,TỰ ĐỘNG,78999,https://bonbanh.com/xe-toyota-yaris-1.5-at-coupe-2007-4084118,price!!!
63,HONDA,CR V,680000000,HỒ CHÍ MINH,CŨ,2016,,XÁM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-honda-cr-v-20-at-2016-54000-km-full-option-415262/,price!!!
76,MERCEDES BENZ,GLC,1729000000,HỒ CHÍ MINH,CŨ,2020,ĐEN,TRẮNG,TỰ ĐỘNG,13000,https://bonbanh.com/xe-mercedes_benz-glc-200-2020-4130956,price!!!
96,FORD,RANGER,485000000,,CŨ,2016,,,SỐ SÀN,62000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/90497171.htm,price!!!
128,FORD,RANGER,1202000000,HÀ NỘI,MỚI,2021,ĐEN,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-4044843,price!!!
130,HYUNDAI,VERACRUZ,355000000,,CŨ,2007,,,TỰ ĐỘNG,120000,https://xe.chotot.com/mua-ban-oto-huyen-binh-chanh-tp-ho-chi-minh/90327818.htm,price!!!
136,HYUNDAI,TUCSON,171000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-binh-thuy-can-tho/90512007.htm,price!!!
142,LANDROVER,RANGE ROVER,8200000000,,CŨ,2016,,,TỰ ĐỘNG,99000,https://xe.chotot.com/mua-ban-oto-huyen-hoai-duc-ha-noi/88159411.htm,price!!!
158,FORD,RANGER,615000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-ranger-xls-at-2021-moi-toan-quoc-ho-tro-tra-gop-lai-xuat-thap-415223/,price!!!
165,MERCEDES BENZ,MB,130000000,HÀ NỘI,CŨ,2004,ĐEN,BẠC,SỐ TAY,120000,https://bonbanh.com/xe-mercedes_benz-mb-100-2004-4052828,price!!!
171,HYUNDAI,SANTAFE,1010000000,HÀ NỘI,MỚI,2021,MÀU KHÁC,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-hyundai-santafe-tieu-chuan-2.5l-2021-3823159,price!!!
177,TOYOTA,LAND CRUISER,300000000,HÀ NỘI,CŨ,1991,GHI,XANH,SỐ TAY,0,https://bonbanh.com/xe-toyota-land_cruiser-ii-2.4-mt-1991-4094020,price!!!
191,TOYOTA,CORONA,148000000,,CŨ,1993,,,SỐ SÀN,90000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/90357860.htm,price!!!
195,FORD,RANGER,545000000,,CŨ,2019,,,SỐ SÀN,45000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/90503132.htm,price!!!
199,HYUNDAI,TUCSON,230000000,,CŨ,2009,,,SỐ SÀN,100000,https://xe.chotot.com/mua-ban-oto-huyen-minh-hoa-quang-binh/90530035.htm,price!!!
212,FORD,RANGER,1202000000,HÀ NỘI,MỚI,2021,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-3609697,price!!!
221,HYUNDAI,UNIVERSE,225000000,HÀ NỘI,CŨ,2007,ĐỎ,ĐỎ,SỐ TAY,250000,https://bonbanh.com/xe-hyundai-universe--2007-4046725,price!!!
226,TOYOTA,INNOVA,348000000,HÀ NỘI,CŨ,2016,KEM,VÀNG,SỐ TAY,65000,https://bonbanh.com/xe-toyota-innova-2.0e-2016-3620267,price!!!
228,FORD,RANGER,1160000000,HỒ CHÍ MINH,CŨ,2019,ĐEN,ĐỎ,TỰ ĐỘNG,40000,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2019-4074269,price!!!
229,TOYOTA,INNOVA,195000000,HÀ NỘI,CŨ,2008,KEM,BẠC,SỐ TAY,120000,https://bonbanh.com/xe-toyota-innova-2.0g-2008-3783552,price!!!
232,TOYOTA,VIOS,229000000,HÀ NỘI,CŨ,2013,KEM,BẠC,SỐ TAY,96000,https://bonbanh.com/xe-toyota-vios-1.5e-2013-3686824,price!!!
248,FORD,RANGER,539000000,,CŨ,2018,,,SỐ SÀN,71000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/89811487.htm,price!!!
268,MERCEDES BENZ,GLC,1890000000,HÀ NỘI,CŨ,2021,ĐEN,XÁM,TỰ ĐỘNG,5000,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-3931595,price!!!
278,FORD,RANGER,570000000,HÀ NỘI,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0979-57-2297ford-ranger-2021-san-xe-gia-tot-uu-dai-tien-mat-va-tang-phu-kien-chinh-hang-413420/,price!!!
290,FORD,TOURNEO,969000000,HỒ CHÍ MINH,MỚI,2021,GHI,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-tourneo-trend-2.0-at-2021-3974824,price!!!
296,HYUNDAI,ACCENT,395000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/88433467.htm,price!!!
305,MERCEDES BENZ,C CLASS,550000000,,CŨ,2004,,,TỰ ĐỘNG,123,https://xe.chotot.com/mua-ban-oto-quan-10-tp-ho-chi-minh/89329613.htm,price!!!
315,FORD,RANGER,615000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-ranger-xls-at-2021-moi-toan-quoc-ho-tro-tra-gop-lai-xuat-thap-415231/,price!!!
317,TOYOTA,HILUX,913000000,HÀ NỘI,MỚI,2021,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-toyota-hilux-2.8l-4x4-at-2021-3989842,price!!!
323,TOYOTA,VIOS,438000000,HÀ NỘI,MỚI,2021,ĐEN,CÁT,SỐ TAY,0,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2021-3797363,price!!!
328,FORD,RANGER,590000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-pickup-xls-at-xls-mt-2021-moi-ha-noi-ho-tro-tra-gop-giao-xe-toan-quoc-415230/,price!!!
335,FORD,RANGER,1205000000,HỒ CHÍ MINH,MỚI,2021,,XANH DƯƠNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ranger-raptor-model-2021-sieu-khung-long-ho-tro-gop-80-bao-dau-ho-so-vay-0937442330-389599/,price!!!
338,VINFAST,LUX SA 2.0,946000000,HÀ NỘI,MỚI,2021,NÂU,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2021-3275385,price!!!
350,TOYOTA,CAMRY,85000000,,CŨ,1987,,,SỐ SÀN,190000,https://xe.chotot.com/mua-ban-oto-quan-3-tp-ho-chi-minh/90443166.htm,price!!!
366,TOYOTA,FORTUNER,1354000000,HỒ CHÍ MINH,MỚI,2020,,NÂU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-toyota-fortuner-v-28-at-2-cau-du-mau-giao-ngay-350tr-co-xe-lh-0932142022-353437/,price!!!
369,FORD,RANGER,616000000,HÀ NỘI,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0979-57-2297ford-ranger-2021-ban-nhap-khau-san-xe-gia-tot-uu-dai-gan-100tr-tien-mat-399915/,price!!!
370,TOYOTA,FORTUNER,1310000000,HỒ CHÍ MINH,CŨ,2019,,BẠC,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-toyota-fortuner-27-4x4-at-2017-moi-99-giao-xe-ngay-353503/,price!!!
372,KIA,CERATO,499000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0902913936-kia-cerato-2021-moi-uu-dai-soc-65-trieu-chi-trong-thang-nay-san-xe-giao-ngay-415164/,price!!!
382,MERCEDES BENZ,E CLASS,2650000000,HỒ CHÍ MINH,CŨ,2020,ĐEN,XANH,TỰ ĐỘNG,3000,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2020-4023228,price!!!
391,FORD,TOURNEO,1150000000,HỒ CHÍ MINH,CŨ,2019,NÂU,NÂU,TỰ ĐỘNG,13800,https://bonbanh.com/xe-ford-tourneo-titanium-2.0-at-2019-4085037,price!!!
398,KIA,CERATO,499000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0902913936-kia-cerato-2021-moi-uu-dai-soc-65-trieu-chi-trong-thang-nay-san-xe-giao-ngay-415163/,price!!!
