,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
2,MERCEDESBENZ,G63,12600000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-mercedes-benz-g63amg-2021-moi-ho-chi-minh-407001/,model not in brand
10,BMW,320,1479000000,HỒ CHÍ MINH,CŨ,2017,,ĐỎ,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-bmw-320gt-granturismo-sport-cuc-hiem-xe-bao-chat-luong-rat-dep-xin-nguyen-ban-100-0947737172-415281/,model not in brand
13,LANDROVER,RANGE ROVER,12900000000,HÀ NỘI,MỚI,2021,,ĐỎ,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-xe-range-rover-2021-sv-autobiography-30-2021-lh-ms-huong-xe-co-san-giao-ngay-toan-quoc-401153/,price!!!
14,FORD,RANGER-RAPTOR,1202000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-sieu-ban-tai-ranger-raptor-2021-tang-ngay-tien-mat-khung-goi-pk-chinh-hang-399800/,model not in brand
15,KIA,K250,410000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-xe-tai-kia-k250-tai-trong-25-tan-uu-dai-thang-11-tp-hcm-415171/,model not in brand
23,LANDROVER,RANGE ROVER,12000000000,HÀ NỘI,MỚI,2019,VÀNG,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-v8-2019-3572664,price!!!
27,TOYOTA,COROLLA VERSO,386000000,BÌNH DƯƠNG,CŨ,2007,XÁM,NÂU,TỰ ĐỘNG,93939,https://bonbanh.com/xe-toyota-corolla_verso-1.8-at-2007-3718551,model not in brand
34,KIA,CERATO,499000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0902913936-kia-cerato-2021-moi-uu-dai-soc-65-trieu-chi-trong-thang-nay-san-xe-giao-ngay-415164/,price!!!
35,MERCEDESBENZ,GLB 200 AMG,1999000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-glb-200-amg-nhieu-uu-dai-hap-dan-trung-thuong-c180-0969893465-415211/,model not in brand
36,KIA,SONET,579000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0868616444kia-sonet-luxury-giam-50-thue-truoc-ba-giao-xe-truoc-tet-lien-he-de-duoc-tu-van-415187/,model not in brand
